inn,reportdate,1110,1150,2110,default_flag
100000001,2020-03-31,8326,3252,1685,1
100000006,2018-12-31,1943,8780,3076,1
100000007,2020-06-30,6115,1318,4596,1
100000010,2020-06-30,9283,7127,4242,1
100000011,2019-09-30,7905,5337,659,1
100000021,2019-03-31,771,6877,7670,1
100000026,2019-12-31,8235,5667,7767,1
100000028,2018-12-31,1892,5832,3576,1
100000031,2018-12-31,922,1043,6250,1
100000032,2020-06-30,1722,8141,441,1
100000035,2018-12-31,4093,8780,8144,1
100000036,2019-06-30,6740,5568,1020,1
100000042,2020-03-31,1084,5876,3776,1
100000043,2019-12-31,8565,1489,8457,1
100000049,2018-12-31,2069,991,4570,1
100000050,2020-06-30,554,9916,2872,1
100000052,2019-09-30,8736,6541,5147,1
100000055,2019-06-30,7223,1779,336,1
100000064,2019-06-30,2734,4083,1878,1
100000067,2019-06-30,3391,8561,731,1
100000068,2020-06-30,3162,2436,9979,1
100000071,2019-12-31,1629,9886,8538,1
100000073,2019-12-31,492,1887,7474,1
100000075,2018-12-31,2624,9377,2579,1
100000077,2018-12-31,803,5582,6476,1
100000080,2018-12-31,106,3367,6664,1
100000081,2019-09-30,5768,6413,8415,1
100000085,2019-12-31,8492,8548,3847,1
100000093,2019-09-30,9838,5058,9897,1
100000094,2020-06-30,8248,2317,5067,1
100000095,2019-09-30,9921,7878,3796,1
100000102,2019-03-31,2088,3902,5908,1
100000107,2020-06-30,8776,8937,4857,1
100000110,2018-12-31,6091,3506,9023,1
100000114,2020-03-31,7182,7932,5495,1
100000118,2019-06-30,2248,5557,6179,1
100000121,2019-03-31,8212,8567,2647,1
100000122,2019-03-31,7092,6871,242,1
100000125,2018-12-31,7399,4282,2330,1
100000129,2018-12-31,5284,2502,4995,1
100000130,2019-12-31,2153,8579,5837,1
100000132,2018-12-31,4880,3892,3041,1
100000135,2019-09-30,6083,243,8307,1
100000139,2018-12-31,425,9826,7874,1
100000141,2018-12-31,4937,8205,1343,1
100000148,2018-12-31,2138,4370,4783,1
100000000,2018-12-31,7370,960,5490,0
100000000,2019-03-31,5291,5834,6365,0
100000000,2019-06-30,566,4526,5678,0
100000000,2019-09-30,8422,1785,869,0
100000000,2019-12-31,7049,2533,5411,0
100000000,2020-03-31,5151,6520,1284,0
